step,type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,isFraud,isFlaggedFraud,amount_category,Target
1.0,CASH_IN,93413.63,C263588219,9071.0,102484.63,C1620301064,3284.0,0.0,0.0,0.0,tinggi,0
1.0,DEBIT,3179.7,C1182311147,124703.85,121524.14,C1540270363,20767.0,0.0,0.0,0.0,rendah,1
1.0,DEBIT,3111.8600000000015,C548795052,64665.81999999999,61553.96000000001,C240650537,10070.22,0.0,0.0,0.0,rendah,0
1.0,PAYMENT,8716.47,C215759534,8236.0,0.0,M2129844134,0.0,0.0,0.0,0.0,tinggi,2
1.0,PAYMENT,4189.31,C978035840,124618.5,120429.2,M666312528,0.0,0.0,0.0,0.0,sedang,0
1.0,PAYMENT,2871.8899999999994,C754527431,653.0,0.0,M820677667,0.0,0.0,0.0,0.0,rendah,0
1.0,PAYMENT,7652.07,C1112075608,26253.43,18601.35,M1898751355,0.0,0.0,0.0,0.0,sedang,1
1.0,PAYMENT,4655.03,C1910098693,165086.0,160430.97,M398644489,0.0,0.0,0.0,0.0,sedang,2
1.0,PAYMENT,1097.7399999999998,C221861886,24866.0,23768.26,M1713568869,0.0,0.0,0.0,0.0,rendah,2
1.0,PAYMENT,3896.42,C751608431,11558.39,7661.970000000001,M1723290893,0.0,0.0,0.0,0.0,sedang,0
1.0,PAYMENT,4372.05,C1503614751,172643.0,168270.95,M129371198,0.0,0.0,0.0,0.0,sedang,1
1.0,PAYMENT,4518.42,C1504321715,8790.0,4271.579999999998,M910123336,0.0,0.0,0.0,0.0,sedang,1
1.0,PAYMENT,351.2600000000002,C1244815033,21120.0,20768.74,M1038988454,0.0,0.0,0.0,0.0,rendah,1
1.0,PAYMENT,1002.96,C1721045976,8325.0,7322.040000000001,M975001918,0.0,0.0,0.0,0.0,rendah,2
1.0,PAYMENT,264.9300000000003,C1003307628,0.0,0.0,M1595188851,0.0,0.0,0.0,0.0,rendah,1
1.0,PAYMENT,7861.64,C1912850431,176087.23,168225.59,M633326333,0.0,0.0,0.0,0.0,sedang,2
1.0,PAYMENT,8782.48,C1424439581,21368.0,12585.52,M1354280589,0.0,0.0,0.0,0.0,tinggi,1
1.0,PAYMENT,4591.98,C1677984391,52018.0,47426.02,M285754614,0.0,0.0,0.0,0.0,sedang,2
1.0,PAYMENT,21008.52,C970781872,87.0099999999984,0.0,M1850597787,0.0,0.0,0.0,0.0,tinggi,0
1.0,PAYMENT,2245.62,C194107588,30910.0,28664.38,M1264674474,0.0,0.0,0.0,0.0,rendah,2
1.0,PAYMENT,4453.49,C1753542873,36992.0,32538.51,M1240230559,0.0,0.0,0.0,0.0,sedang,2
1.0,PAYMENT,13465.91,C664091267,0.0,0.0,M1433208870,0.0,0.0,0.0,0.0,tinggi,0
1.0,PAYMENT,8550.9,C1795225096,40060.0,31509.1,M790094605,0.0,0.0,0.0,0.0,tinggi,2
1.0,PAYMENT,6086.87,C419280591,5904.0,0.0,M13643661,0.0,0.0,0.0,0.0,sedang,0
1.0,PAYMENT,3830.45,C1205419533,84182.0,80351.54999999999,M1197176722,0.0,0.0,0.0,0.0,sedang,1
1.0,PAYMENT,4219.94,C803768841,9114.399999999998,4894.450000000001,M420993295,0.0,0.0,0.0,0.0,sedang,0
